field_of_view,Niche_0,Niche_1,Niche_2,Niche_3
CD a_1,20.72326583694641,6.455197927340361,1.5243282331206716,0.24761507857392812
CD a_10,20.72326583694641,7.173190438487542,1.7438461078128595,0.19311580071181192
CD a_11,20.72326583694641,6.875231119277113,2.3922295243248404,0.09701617854754695
CD a_12,20.72326583694641,20.72326583694641,1.9165038449097769,0.15913691126613197
CD a_13,20.72326583694641,20.72326583694641,2.4750884822245975,0.08790873403022165
CD a_14,20.72326583694641,20.72326583694641,1.6314168140417644,0.21772348260162733
CD a_15,20.72326583694641,7.160844618665193,3.6951099636145734,0.02595505407211991
CD a_16,20.72326583694641,5.811140658976758,4.424846548356815,0.01508324119613105
CD a_17,20.72326583694641,5.6577382496548525,2.9062032048256117,0.05993405064344763
CD a_18,20.72326583694641,6.300173442085322,2.824075280071206,0.06315229242755771
CD a_19,20.72326583694641,20.72326583694641,0.807888021249819,0.5902270984493229
CD a_2,20.72326583694641,3.0942839252110605,5.222515467731777,0.05203165704019397
CD a_3,20.72326583694641,4.043051210834553,5.221706078926224,0.02320923188688988
CD a_4,20.72326583694641,7.1352879230984705,1.2787856133315003,0.32735423351042076
CD a_5,20.72326583694641,2.9807076672021395,5.925146291737075,0.05490857534005121
CD a_6,20.72326583694641,4.310799050885517,3.260976974811837,0.05316212232345976
CD a_7,20.72326583694641,6.1273053118195175,1.6033456344872161,0.22740841518156116
CD a_8,20.72326583694641,20.72326583694641,1.257259990839638,0.3346790721501691
CD a_9,20.72326583694641,20.72326583694641,2.1520959544638845,0.12357004736332042
CD b_10,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_11,8.294545513151949,20.72326583694641,2.9522152440305427,0.05390065071338656
CD b_12,20.72326583694641,20.72326583694641,4.787260114532381,0.008370194336924814
CD b_13,20.72326583694641,20.72326583694641,3.080916358949596,0.047004775625981404
CD b_14,8.461041303804878,20.72326583694641,2.888891980642089,0.05746956510481347
CD b_15,7.535472780888226,20.72326583694641,3.915588021414072,0.020674892710066256
CD b_16,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_17,7.114158277042887,8.50044895042411,7.807304228355099,0.0014246456219476032
CD b_18,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_19,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_2,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_20,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_3,8.495964659976794,20.72326583694641,8.495964659976794,0.00040866267507842324
CD b_4,20.72326583694641,20.72326583694641,8.100461595034883,0.00030344309245124867
CD b_5,7.961367333723634,20.72326583694641,20.72326583694641,0.0003487348357924441
CD b_6,7.7079593058379725,20.72326583694641,20.72326583694641,0.00044933623470009545
CD b_7,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_8,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD b_9,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
CD c_1,5.648703061645443,20.72326583694641,4.206319450688444,0.018595011116152384
CD c_10,4.990432439778758,20.72326583694641,2.365074090876812,0.10618870176343251
CD c_11,4.7431913690854755,20.72326583694641,2.292186375876596,0.11625980499257434
CD c_12,4.856317805161916,20.72326583694641,3.8266984706200278,0.030006198049809554
CD c_13,4.082271921707836,20.72326583694641,2.3406368885544957,0.12006295951894691
CD c_14,4.033743291899492,20.72326583694641,2.590134517323963,0.09730181449291281
CD c_15,7.396946971622351,20.72326583694641,2.118833935069069,0.12872558032407022
CD c_17,6.379274130477605,20.72326583694641,4.110591117676308,0.018260135442978807
CD c_2,5.129091334929933,20.72326583694641,3.6250140694920185,0.03311288877468808
CD c_3,8.085175502079931,20.72326583694641,3.794719262460395,0.023061164296468695
CD c_4,5.093311729740579,20.72326583694641,4.841997337666017,0.014128269310843699
CD c_5,6.95224947336926,20.72326583694641,2.91800986221187,0.05656782006262227
CD c_6,6.5209885690567475,20.72326583694641,2.1547109619753178,0.12489327270586069
CD c_7,5.908686252428163,20.72326583694641,2.4088177003602995,0.09721301389588394
CD c_8,6.484939877339092,20.72326583694641,3.196538620574288,0.04335623573797203
CD c_9,6.151135206216737,20.72326583694641,3.233364918017475,0.042443801592618326
HC a_1,20.72326583694641,20.72326583694641,2.11609902422515,0.12840260334683304
HC a_10,20.72326583694641,20.72326583694641,3.0011719767407192,0.051007810152998045
HC a_11,20.72326583694641,20.72326583694641,2.2947419056111453,0.1062357881245974
HC a_12,20.72326583694641,20.72326583694641,1.893950403479033,0.1630793093944296
HC a_13,20.72326583694641,20.72326583694641,2.31830249873104,0.1036292871091004
HC a_14,20.72326583694641,20.72326583694641,2.0493599657467154,0.13790359129505864
HC a_15,20.72326583694641,20.72326583694641,2.0557794275374914,0.13695786587650027
HC a_16,20.72326583694641,20.72326583694641,2.2175174723033897,0.1152751333350976
HC a_18,20.72326583694641,20.72326583694641,1.461238264398108,0.26389898657710414
HC a_19,20.72326583694641,7.553808944010152,1.1959685821933732,0.360876629357846
HC a_2,20.72326583694641,20.72326583694641,1.3988668133452038,0.2835261346294344
HC a_20,20.72326583694641,20.72326583694641,1.2606681444747037,0.3333275785461369
HC a_3,20.72326583694641,20.72326583694641,1.7316147573059275,0.1947970949274834
HC a_4,20.72326583694641,20.72326583694641,2.608843537435429,0.07647036291236774
HC a_5,20.72326583694641,20.72326583694641,1.9550011136926388,0.15264351937177742
HC a_6,20.72326583694641,20.72326583694641,2.511942766940808,0.08458940897095302
HC a_7,20.72326583694641,20.72326583694641,2.597614196979377,0.07736819309728192
HC a_8,20.72326583694641,20.72326583694641,1.9737380244805232,0.1495870654974086
HC a_9,20.72326583694641,20.72326583694641,2.9156895474189177,0.05568890480332009
HC b_1,20.72326583694641,20.72326583694641,1.6259487688141356,0.2190580809074796
HC b_10,20.72326583694641,20.72326583694641,1.2021352606232747,0.3574634946291214
HC b_11,20.72326583694641,20.72326583694641,0.842788267558394,0.5630113751806085
HC b_12,20.72326583694641,20.72326583694641,2.039143852231076,0.1394230921795547
HC b_13,20.72326583694641,20.72326583694641,1.1199116136349174,0.3949831847870903
HC b_14,20.72326583694641,20.72326583694641,1.2315926446647807,0.34506746918774933
HC b_15,20.72326583694641,20.72326583694641,1.688930158160134,0.20422002886488302
HC b_16,20.72326583694641,20.72326583694641,1.804844702697683,0.17972492974980056
HC b_17,20.72326583694641,20.72326583694641,4.406719165264257,0.01227009157946882
HC b_18,20.72326583694641,20.72326583694641,6.520620448558953,0.001473838616825655
HC b_19,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
HC b_2,20.72326583694641,20.72326583694641,1.3876360988963834,0.28723522362065673
HC b_20,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
HC b_3,20.72326583694641,20.72326583694641,1.2553080670414711,0.33545600534768955
HC b_4,20.72326583694641,20.72326583694641,1.4322736604590796,0.272813730900779
HC b_5,20.72326583694641,20.72326583694641,0.9727431064265424,0.47488688642190946
HC b_6,20.72326583694641,20.72326583694641,0.9526454099253542,0.48730326470288665
HC b_7,20.72326583694641,20.72326583694641,1.5923920402456186,0.2274508072563945
HC b_8,20.72326583694641,20.72326583694641,1.4826803838529425,0.2575129024721598
HC b_9,20.72326583694641,20.72326583694641,1.1417580320855945,0.38457081462212767
HC c_1,20.72326583694641,5.887953810071734,3.202376800897258,0.0444097526615469
HC c_10,20.72326583694641,5.839186768162471,6.532333605222593,0.004376373595412953
HC c_11,20.72326583694641,6.495264893937286,1.713344852656932,0.20061474861912618
HC c_12,20.72326583694641,5.320567770982888,3.6158198460626165,0.032300943755492924
HC c_13,20.72326583694641,5.8103918759645286,2.6219755785680814,0.07867036528716907
HC c_14,20.72326583694641,6.957813427522154,1.4661257149938802,0.2636650454047659
HC c_15,20.72326583694641,20.72326583694641,4.373057885405411,0.012692825785645265
HC c_16,20.72326583694641,20.72326583694641,2.890371739896166,0.05715841278112514
HC c_2,20.72326583694641,6.564207364439215,1.7642938050709094,0.1896092377490507
HC c_3,20.72326583694641,5.848964137625788,1.742197396570165,0.19603680267957516
HC c_4,20.72326583694641,20.72326583694641,1.3607084886533491,0.29635826614576477
HC c_5,20.72326583694641,6.347826370958612,1.7034360375742537,0.20310497002518813
HC c_6,20.72326583694641,5.208270903085508,1.9983238843626723,0.1520252793507552
HC c_7,20.72326583694641,20.72326583694641,1.5144326924698146,0.24837535923277415
HC c_8,20.72326583694641,6.664833315726271,1.672136501326135,0.20963553548590214
HC c_9,20.72326583694641,20.72326583694641,1.8443174777305276,0.17213348569511625
UC a_1,5.828945277610277,6.639875068826875,2.9572659734809137,0.05785069387415288
UC a_10,6.739335782357549,20.72326583694641,6.046189024297337,0.003556612111284199
UC a_12,5.625620435499169,6.570081608356093,6.724232169278753,0.006226794246031437
UC a_13,5.540659789992243,5.333020472997656,20.72326583694641,0.008791930718746205
UC a_14,6.343879865126507,20.72326583694641,20.72326583694641,0.0017590144034190242
UC a_15,6.047371756046379,20.72326583694641,20.72326583694641,0.0023668640078965287
UC a_16,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
UC a_17,6.623178735816396,5.930031931422905,7.028643467758247,0.004885640514249696
UC a_18,5.621124964775248,6.5374152823496035,7.2305617724102635,0.005809746635494362
UC a_19,20.72326583694641,6.19168010511195,5.903998154826796,0.004786332919013396
UC a_2,5.764493919867432,20.72326583694641,2.837754819500725,0.06367912415099608
UC a_20,20.72326583694641,5.956700168338411,7.055311684340528,0.003457219380394617
UC a_21,20.72326583694641,7.362008976261029,20.72326583694641,0.0006351212817497364
UC a_22,20.72326583694641,6.737559058486462,20.72326583694641,0.0011862387583192824
UC a_5,5.798081713287999,6.896693342623243,4.331744898084259,0.017338526144783397
UC a_6,7.289609056452373,20.72326583694641,1.7155571479099785,0.199117104569535
UC a_7,6.168214581519265,7.266825915521714,2.705957405460439,0.07214027640257101
UC a_8,7.134889596566778,20.72326583694641,1.6295593105318957,0.21916740168953067
UC a_9,7.42326821773568,7.0178036677934035,7.42326821773568,0.002092362636770986
UC b_1,5.102442678926321,8.3605351063803,4.722953109144491,0.015321453678994212
UC b_10,6.508023032221996,5.409411190553664,5.121729173976861,0.012003143849280418
UC b_11,5.786897055366789,5.227281407145588,4.870606519092563,0.016235376854593937
UC b_12,20.72326583694641,6.709303520258677,4.763394074060142,0.009803999086768668
UC b_14,5.383839322129086,20.72326583694641,4.714789799419964,0.013644576868882444
UC b_15,8.192290118154292,20.72326583694641,4.581375720854779,0.0105732750089027
UC b_16,4.6915429522853,8.541685539029778,5.015329987694603,0.01613255425249639
UC b_17,5.8090426520137495,20.72326583694641,4.615120415841265,0.012985233535252083
UC b_18,4.659474964435396,6.707167095131639,4.915408307778245,0.018190727185365425
UC b_2,5.220563518639544,20.72326583694641,5.07746269967065,0.01170826570818614
UC b_20,5.241557843764677,20.72326583694641,4.325267225269064,0.01869569804094113
UC b_21,4.6950938750156785,20.72326583694641,5.078086076214222,0.015491202638283432
UC b_22,4.9307456929023425,20.72326583694641,4.9307456929023425,0.014547534194400238
UC b_23,4.527208552018385,8.264874377809518,5.431664690216164,0.015564515525425326
UC b_24,4.209274461588391,7.690512430734287,5.205607786152135,0.021019366202833657
UC b_3,5.645642904705159,6.744254627262535,5.070278883638369,0.01105201596511388
UC b_4,6.354120987867327,7.201418081779035,4.932735743034498,0.00973911954547302
UC b_5,5.3675322212362,5.772997222177727,5.262171727011709,0.013044796541288158
UC b_6,5.377380357233984,7.082127475427737,5.695834007182093,0.008858947458308777
UC b_7,6.61807045536002,8.004362570984188,5.113993640750104,0.0077116885092244295
UC b_8,5.178688701642533,7.48127219758828,5.08337853797002,0.012475352165252666
UC b_9,4.575741278197291,5.086566837229953,5.779713855956605,0.019761432480001638
UC c_1,20.72326583694641,7.715567291522913,1.754564189116007,0.19046878718459131
UC c_10,20.72326583694641,7.3917218260796425,1.255076888117657,0.3364106038385797
UC c_11,20.72326583694641,8.100461595034883,1.14011715880092,0.38578741575766334
UC c_12,20.72326583694641,7.277246279632567,0.7949051913529762,0.6020552190541808
UC c_13,20.72326583694641,20.72326583694641,2.4833330733594385,0.08715455007018855
UC c_14,20.72326583694641,8.100158151942239,0.9094854101213558,0.5158966268724088
UC c_15,20.72326583694641,7.322178614962997,1.0324645547447986,0.44128230209481956
UC c_16,20.72326583694641,6.698575456768629,0.9939608043562919,0.46416554070924204
UC c_17,20.72326583694641,8.015324282026379,1.241103419204676,0.3416391783467361
UC c_18,20.72326583694641,8.112224623355347,1.334581360916202,0.30593866772479195
UC c_19,20.72326583694641,20.72326583694641,2.615915787373826,0.07591046930975993
UC c_2,20.72326583694641,7.824043510859417,1.7766738258998487,0.18584776536627395
UC c_20,20.72326583694641,7.717793963016211,2.617929769482067,0.07623176867339718
UC c_21,20.72326583694641,6.584790668386022,2.3652836765625516,0.10015615564512079
UC c_3,20.72326583694641,7.842668927982881,1.7468469068107462,0.1920269223308574
UC c_4,20.72326583694641,20.72326583694641,5.634789323169309,0.003577820344299766
UC c_5,20.72326583694641,4.865609392296011,20.72326583694641,0.007736981494385602
UC c_6,20.72326583694641,7.785718490537724,1.2190484633474168,0.3508730199023176
UC c_7,20.72326583694641,6.917374512693017,1.245198383644634,0.34090595190468254
UC c_8,20.72326583694641,6.6143896776451765,1.5130007614898036,0.2505006209722434
UC c_9,20.72326583694641,7.898036998768322,0.9763815039586577,0.47327792733616214
